image_name,action_high_model_uncertainty,action_high_data_uncertainty,model_uncertainty,data_uncertainty,missed_reasons,excessive_reasons
ade9936a-2da1b1a9,"[0, 2, 3]",[1],"[1.0, 0.14336168766021729, 1.0, 1.0]","[0.4697779715061188, 0.8821947574615479, 0.4697779715061188, 0.4697779715061188]",[],[]
ae32bdd5-5b1c1887,"[1, 2, 3]",[0],"[0.6651875376701355, 1.0, 1.0, 1.0]","[0.9187887907028198, 0.7639069557189941, 0.7639069557189941, 0.7639069557189941]",[1],[0]
ae39f31b-ae42eb7d,"[0, 2, 3]",[1],"[1.0, 0.13778343796730042, 1.0, 1.0]","[0.4609788954257965, 0.8718795776367188, 0.4609788954257965, 0.4609788954257965]",[3],[]
ae67159c-29f0367f,"[0, 1, 3]",[2],"[1.0, 1.0, 0.5744476318359375, 1.0]","[0.7432656288146973, 0.7432656288146973, 0.948494553565979, 0.7432656288146973]","[1, 3]",[]
aef72477-f640501f,"[0, 2, 3]",[],"[1.0, 0.08530422300100327, 1.0, 1.0]","[0.3581210672855377, 0.7293969988822937, 0.3581210672855377, 0.3581210672855377]",[],[]
aefd1f1c-75f3619e,[1],[0],"[0.053982287645339966, 1.0, 0.1577504277229309, 0.185385063290596]","[0.9750949144363403, 0.2042848765850067, 0.727494478225708, 0.6635503768920898]",[],[3]
af19251c-3916601e,"[0, 2, 3]",[1],"[1.0, 0.1702495962381363, 1.0, 1.0]","[0.5079833269119263, 0.9229662418365479, 0.5079833269119263, 0.5079833269119263]",[],[]
af2fe9d3-40932f70,"[0, 3]","[1, 2]","[1.0, 0.2593553960323334, 0.14228495955467224, 1.0]","[0.3937244415283203, 0.8803927898406982, 0.9940181970596313, 0.3937244415283203]",[0],[1]
af312334-e8785376,"[1, 2, 3]",[0],"[0.37040385603904724, 1.0, 1.0, 1.0]","[0.9979974031448364, 0.670012891292572, 0.670012891292572, 0.670012891292572]",[1],[0]
af729a7b-ed22189a,"[0, 2, 3]",[1],"[1.0, 0.10730302333831787, 1.0, 1.0]","[0.40629810094833374, 0.8008423447608948, 0.40629810094833374, 0.40629810094833374]",[],[]
af841466-c3a00e21,"[1, 2]","[0, 3]","[0.5434516072273254, 1.0, 1.0, 0.4791267216205597]","[0.8936892151832581, 0.6547524929046631, 0.6547524929046631, 0.9359527230262756]",[],[3]
af9916b4-c8f6dc59,"[0, 2, 3]",[1],"[1.0, 0.4626356065273285, 1.0, 1.0]","[0.7092322111129761, 0.9808797836303711, 0.7092322111129761, 0.7092322111129761]",[],[]
aff5ee2d-8a039c82,"[0, 2]",[1],"[1.0, 0.07012568414211273, 1.0, 0.38085871934890747]","[0.29879841208457947, 0.8031393885612488, 0.29879841208457947, 0.5816870927810669]",[0],[1]
b00b42be-fb186d2b,"[0, 2, 3]",[1],"[1.0, 0.16011926531791687, 1.0, 1.0]","[0.49434858560562134, 0.9091949462890625, 0.49434858560562134, 0.49434858560562134]",[],[]
b0263f3e-24ff66ac,"[0, 2, 3]",[],"[1.0, 0.06304582208395004, 1.0, 1.0]","[0.29908186197280884, 0.6320425868034363, 0.29908186197280884, 0.29908186197280884]",[0],[1]
b065946a-0fb1b9e4,"[0, 2, 3]",[1],"[1.0, 0.49871668219566345, 1.0, 1.0]","[0.7215166091918945, 0.9713103771209717, 0.7215166091918945, 0.7215166091918945]",[0],[1]
b08b7f57-83bd4463,"[1, 2, 3]",[0],"[0.18226724863052368, 1.0, 0.8740233778953552, 1.0]","[0.9461959004402161, 0.5173628926277161, 0.5644375085830688, 0.5173628926277161]",[1],"[0, 2]"
b09a2923-ddbdc43e,"[0, 2]","[1, 3]","[1.0, 0.17613275349140167, 1.0, 0.1402764916419983]","[0.35667088627815247, 0.9604446887969971, 0.35667088627815247, 0.9990090131759644]",[0],[1]
b0a681c2-2d86ba17,"[1, 3]",[],"[0.07833357155323029, 1.0, 0.5844408273696899, 1.0]","[0.7695956230163574, 0.33018115162849426, 0.48106449842453003, 0.33018115162849426]",[1],"[0, 2]"
b0c89856-d60f8dc3,"[0, 2, 3]",[1],"[1.0, 0.19814708828926086, 1.0, 1.0]","[0.5415219068527222, 0.9528135061264038, 0.5415219068527222, 0.5415219068527222]",[],[]
b0f7ffac-aeb8eb1b,"[1, 3]","[0, 2]","[0.1911657601594925, 1.0, 0.0898037999868393, 1.0]","[0.8619304895401001, 0.30499571561813354, 0.9671522378921509, 0.30499571561813354]",[1],"[0, 2]"
b1088bde-8e4b56f5,"[0, 2, 3]",[1],"[1.0, 0.19026589393615723, 1.0, 1.0]","[0.5325915813446045, 0.9454537034034729, 0.5325915813446045, 0.5325915813446045]",[2],[1]
b15311a3-f16e6bee,"[0, 2]","[1, 3]","[1.0, 0.2463340312242508, 1.0, 0.25344499945640564]","[0.46883219480514526, 0.9742114543914795, 0.46883219480514526, 0.9675553441047668]",[0],"[1, 3]"
b16f49bb-1b3dab73,"[1, 3]","[0, 2]","[0.4483167827129364, 1.0, 0.5230898857116699, 1.0]","[0.9452662467956543, 0.6409801244735718, 0.8945983648300171, 0.6409801244735718]",[1],"[0, 2]"
b204a5c1-05981158,"[0, 3]","[1, 2]","[1.0, 0.4219846725463867, 0.4215010702610016, 1.0]","[0.6056174039840698, 0.9353823661804199, 0.9357383251190186, 0.6056174039840698]",[0],"[1, 2]"
b24380ab-855e9c00,"[0, 2]","[1, 3]","[1.0, 0.21533925831317902, 1.0, 0.2785789966583252]","[0.4617213010787964, 0.9938293695449829, 0.4617213010787964, 0.9347579479217529]",[],[1]
b2505382-549785d3,"[1, 2]","[0, 3]","[0.2807345688343048, 1.0, 1.0, 0.4686047434806824]","[0.9960128664970398, 0.5572634935379028, 0.5572634935379028, 0.8517228364944458]",[],[]
b285698b-ff1293ce,"[0, 2, 3]",[1],"[1.0, 0.49639225006103516, 1.0, 1.0]","[0.720767080783844, 0.9719588756561279, 0.720767080783844, 0.720767080783844]",[0],[1]
b29c2372-b53a797c,"[0, 2, 3]",[],"[1.0, 0.06288334727287292, 1.0, 1.0]","[0.29860368371009827, 0.6312132477760315, 0.29860368371009827, 0.29860368371009827]",[],[]
b2bdb7b6-137acb11,"[0, 2]","[1, 3]","[1.0, 0.21019220352172852, 1.0, 0.16072283685207367]","[0.39168018102645874, 0.9479823112487793, 0.39168018102645874, 0.998771071434021]",[],[3]
b2c23864-810e4e1d,[0],[3],"[1.0, 0.4170956611633301, 0.4913243055343628, 0.15448905527591705]","[0.4160937964916229, 0.7246698141098022, 0.6598770618438721, 0.9944876432418823]",[0],"[1, 2]"
b3a6f586-21d97cce,"[0, 2, 3]",[],"[1.0, 0.1062820553779602, 1.0, 1.0]","[0.40424466133117676, 0.7979573011398315, 0.40424466133117676, 0.40424466133117676]",[2],[]
b3f3c908-baffb699,"[0, 2]","[1, 3]","[1.0, 0.24961839616298676, 1.0, 0.09993726760149002]","[0.337101012468338, 0.8115766048431396, 0.337101012468338, 0.9545016288757324]",[2],"[1, 3]"
b4253085-22b9e610,[1],[3],"[0.5391494035720825, 1.0, 0.69148188829422, 0.26424872875213623]","[0.7769672870635986, 0.5398526191711426, 0.6775878071784973, 0.997052788734436]",[1],"[0, 2, 3]"
b42df626-243bcce8,"[0, 2, 3]",[1],"[1.0, 0.1706983596086502, 0.9231769442558289, 1.0]","[0.5054351687431335, 0.9293573498725891, 0.5326423645019531, 0.5054351687431335]",[],[2]
b47262a4-b17e0871,"[0, 2, 3]",[],"[1.0, 0.08660148084163666, 1.0, 1.0]","[0.3612113893032074, 0.7342066764831543, 0.3612113893032074, 0.3612113893032074]",[],[]
b4aefa17-2444bcc7,"[0, 2, 3]",[1],"[1.0, 0.1706259846687317, 1.0, 1.0]","[0.5084737539291382, 0.9234446883201599, 0.5084737539291382, 0.5084737539291382]",[],[]
b4b07c88-e71768f1,"[0, 2, 3]",[1],"[1.0, 0.185044065117836, 1.0, 1.0]","[0.5264486074447632, 0.940137505531311, 0.5264486074447632, 0.5264486074447632]",[3],[]
b4d35abd-b35897b3,"[0, 2, 3]",[1],"[1.0, 0.17638763785362244, 1.0, 1.0]","[0.5158426761627197, 0.9304884672164917, 0.5158426761627197, 0.5158426761627197]",[],[]
b4fa53bd-ca8d0317,"[0, 2, 3]",[],"[1.0, 0.06956600397825241, 1.0, 1.0]","[0.3176596760749817, 0.6637616753578186, 0.3176596760749817, 0.3176596760749817]",[0],[1]
b5296e2a-25ab57d6,"[1, 2, 3]",[],"[0.1041838750243187, 1.0, 1.0, 1.0]","[0.7919086217880249, 0.39997339248657227, 0.39997339248657227, 0.39997339248657227]",[2],[]
b559d3b0-dd72ed94,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[1],[]
b57b533b-58103d3d,"[1, 3]","[0, 2]","[0.2775055468082428, 1.0, 0.1528715342283249, 1.0]","[0.8772317171096802, 0.4103662371635437, 0.9956936836242676, 0.4103662371635437]",[],[2]
b59f0750-f228a9a2,"[0, 2, 3]",[1],"[1.0, 0.1101948544383049, 1.0, 1.0]","[0.4120277166366577, 0.808813214302063, 0.4120277166366577, 0.4120277166366577]",[],[]
b5a09604-33ffdc75,"[0, 3]",[1],"[1.0, 0.10137581825256348, 0.3563997447490692, 1.0]","[0.3590410351753235, 0.9124487638473511, 0.7041041254997253, 0.3590410351753235]",[0],"[1, 2]"
b5d06d78-e4ecfa0c,"[0, 2, 3]",[1],"[1.0, 0.15021291375160217, 1.0, 1.0]","[0.48014727234840393, 0.8939206004142761, 0.48014727234840393, 0.48014727234840393]",[],[]
b5dd20c5-4e1112c7,"[0, 2, 3]",[1],"[1.0, 0.15907634794712067, 1.0, 1.0]","[0.4928954243659973, 0.9076747894287109, 0.4928954243659973, 0.4928954243659973]",[0],[1]
b629c466-a0893075,"[0, 3]",[1],"[1.0, 0.14756150543689728, 0.4128732979297638, 1.0]","[0.4341109097003937, 0.9678676128387451, 0.7533091306686401, 0.4341109097003937]",[],[2]
b62bef56-29a2dde5,"[1, 3]","[0, 2]","[0.06609084457159042, 1.0, 0.09518910944461823, 1.0]","[0.9934807419776917, 0.22451631724834442, 0.9581362009048462, 0.22451631724834442]",[],[2]
b6d0b46a-ec482777,"[1, 2, 3]",[0],"[0.4725501537322998, 1.0, 1.0, 1.0]","[0.9783647060394287, 0.7127513885498047, 0.7127513885498047, 0.7127513885498047]","[1, 2, 3]",[0]
b6d0b9d1-d643d86a,"[0, 2, 3]",[1],"[1.0, 0.2947418987751007, 1.0, 1.0]","[0.6256904602050781, 0.9972749352455139, 0.6256904602050781, 0.6256904602050781]",[],[]
b6d82c09-389f4f78,"[0, 2]","[1, 3]","[1.0, 0.10746799409389496, 1.0, 0.19606737792491913]","[0.331226646900177, 0.9869314432144165, 0.331226646900177, 0.8941993713378906]",[],[]
b71d7574-92c4aeba,"[1, 3]","[0, 2]","[0.17993660271167755, 1.0, 0.1386965960264206, 1.0]","[0.9554117918014526, 0.357342928647995, 0.9996004700660706, 0.357342928647995]",[],[]
b73a59ee-a81b5085,"[0, 2]","[1, 3]","[1.0, 0.1788923144340515, 0.8668054938316345, 0.2980636954307556]","[0.4368082284927368, 0.999961256980896, 0.4813823699951172, 0.8840711712837219]",[],"[2, 3]"
b74ca6c1-38f5c3c8,"[0, 2]","[1, 3]","[1.0, 0.10479478538036346, 1.0, 0.25987929105758667]","[0.3468872904777527, 0.9580231308937073, 0.3468872904777527, 0.8113131523132324]",[],[3]
b7676214-60e4d9eb,"[0, 2, 3]",[],"[1.0, 0.08614344149827957, 1.0, 1.0]","[0.3601241707801819, 0.7325180172920227, 0.3601241707801819, 0.3601241707801819]",[],[]
b7c91476-fe3e68ec,"[0, 2, 3]",[],"[1.0, 0.08382883667945862, 1.0, 1.0]","[0.3545641303062439, 0.7238243818283081, 0.3545641303062439, 0.3545641303062439]",[],[]
b7f136f3-1a77da25,"[0, 3]","[1, 2]","[1.0, 0.3953624367713928, 0.6261193156242371, 1.0]","[0.6419722437858582, 0.9779739379882812, 0.8277935981750488, 0.6419722437858582]",[0],"[1, 2]"
b82f91d7-a21bb033,"[1, 3]","[0, 2]","[0.06798429042100906, 1.0, 0.11840403825044632, 1.0]","[0.9791764616966248, 0.24116140604019165, 0.9206891059875488, 0.24116140604019165]",[],[2]
b873b095-4530040c,"[1, 2, 3]",[0],"[0.14160670340061188, 1.0, 1.0, 1.0]","[0.8790264129638672, 0.4670451879501343, 0.4670451879501343, 0.4670451879501343]",[],[]
b87a03a9-c9da2b1a,"[0, 2, 3]",[],"[1.0, 0.08238255232572556, 1.0, 1.0]","[0.35103294253349304, 0.7182535529136658, 0.35103294253349304, 0.35103294253349304]",[0],[1]
b89bf84d-04301b8b,"[1, 2, 3]",[0],"[0.2965357005596161, 1.0, 1.0, 1.0]","[0.9975366592407227, 0.6269139051437378, 0.6269139051437378, 0.6269139051437378]","[1, 3]",[0]
b89bf84d-d2c2e5a7,[1],"[2, 3]","[0.5350235104560852, 0.8432770371437073, 0.1216430813074112, 0.21090511977672577]","[0.5197769999504089, 0.3808085322380066, 0.9994935989379883, 0.8763765096664429]",[],"[0, 2, 3]"
b9aabdcf-d1433a19,"[0, 2]",[1],"[1.0, 0.06735363602638245, 1.0, 0.2729406952857971]","[0.2810836732387543, 0.850134015083313, 0.2810836732387543, 0.6770658493041992]",[0],"[1, 3]"
b9d24e81-a9679e2a,"[0, 3]",[1],"[1.0, 0.12384995073080063, 0.6084277629852295, 1.0]","[0.42072024941444397, 0.8942581415176392, 0.5849266052246094, 0.42072024941444397]",[],[2]
ba09810a-a1c9c327,"[0, 1, 2, 3]",[1],"[1.0, 0.8354802131652832, 1.0, 1.0]","[0.7921518087387085, 0.8624258637428284, 0.7921518087387085, 0.7921518087387085]","[0, 2, 3]",[1]
ba47af6d-548205ea,"[0, 2, 3]",[1],"[1.0, 0.10874869674444199, 1.0, 1.0]","[0.4091782569885254, 0.8048637509346008, 0.4091782569885254, 0.4091782569885254]",[3],[]
bab90acb-5e9f3a31,"[1, 2, 3]",[0],"[0.14537309110164642, 1.0, 1.0, 1.0]","[0.885741651058197, 0.47287094593048096, 0.47287094593048096, 0.47287094593048096]",[2],[]
bad81f09-0d02e84b,"[1, 2]",[3],"[0.7504309415817261, 1.0, 1.0, 0.11027205735445023]","[0.49219459295272827, 0.40442442893981934, 0.40442442893981934, 0.8396403789520264]",[1],"[0, 3]"
bade898f-11350592,"[1, 3]","[0, 2]","[0.4055628180503845, 1.0, 0.5264023542404175, 1.0]","[0.9630756378173828, 0.6273249387741089, 0.8793753385543823, 0.6273249387741089]",[1],"[0, 2]"
bb53a532-a6465a0b,"[1, 2]","[0, 3]","[0.3367540240287781, 0.9692555069923401, 1.0, 0.3007699251174927]","[0.9398715496063232, 0.5405098795890808, 0.5296626687049866, 0.970554530620575]",[],"[1, 3]"
bb6264e8-08299561,"[0, 2, 3]",[1],"[1.0, 0.11848509311676025, 1.0, 1.0]","[0.4277769923210144, 0.830108642578125, 0.4277769923210144, 0.4277769923210144]",[],[]
bb769d08-290df018,"[0, 2, 3]",[1],"[1.0, 0.37903764843940735, 1.0, 1.0]","[0.6742668151855469, 0.9970287084579468, 0.6742668151855469, 0.6742668151855469]",[],[]
bbc19191-6e9a792b,"[0, 2, 3]",[],"[1.0, 0.07035833597183228, 1.0, 1.0]","[0.3198390007019043, 0.667418897151947, 0.3198390007019043, 0.3198390007019043]",[],[]
bbcf6d54-9e66bc23,"[0, 3]","[1, 2]","[1.0, 0.14457236230373383, 0.17208831012248993, 0.9378730654716492]","[0.35688096284866333, 0.9969587326049805, 0.9665752649307251, 0.37360820174217224]",[],[]
bc2e185c-229fdd44,"[0, 2]","[1, 3]","[1.0, 0.11982643604278564, 1.0, 0.16806618869304657]","[0.33284708857536316, 0.9995753765106201, 0.33284708857536316, 0.9468632936477661]",[0],[1]
bc4fb79c-561bbfc5,"[0, 2, 3]",[1],"[1.0, 0.11367613822221756, 1.0, 1.0]","[0.4187602400779724, 0.8180282711982727, 0.4187602400779724, 0.4187602400779724]",[],[]
bca10f4f-2deaf782,"[0, 2]",[1],"[1.0, 0.18309471011161804, 1.0, 0.6249388456344604]","[0.5009804964065552, 0.9693425893783569, 0.5009804964065552, 0.6725433468818665]",[],[3]
bcea7303-e7f7d067,"[0, 2]","[1, 3]","[1.0, 0.2071622610092163, 1.0, 0.1423901617527008]","[0.3740867078304291, 0.9327459335327148, 0.3740867078304291, 0.9998557567596436]",[0],[1]
bcf0401c-3f464d19,"[0, 2, 3]",[1],"[1.0, 0.2718673646450043, 1.0, 1.0]","[0.6091880798339844, 0.9925464391708374, 0.6091880798339844, 0.6091880798339844]",[3],[]
bd1cf9f7-e0d0fcd9,"[1, 3]","[0, 2]","[0.07350978255271912, 1.0, 0.18018251657485962, 1.0]","[0.9400888681411743, 0.27469947934150696, 0.8302924633026123, 0.27469947934150696]",[],[2]
bd355fcc-bbc127e0,"[1, 2, 3]",[0],"[0.4745936095714569, 1.0, 1.0, 1.0]","[0.9778347015380859, 0.7134625911712646, 0.7134625911712646, 0.7134625911712646]",[1],[0]
bd5f0e20-1792f900,"[0, 2, 3]",[1],"[1.0, 0.17478212714195251, 1.0, 1.0]","[0.5138149857521057, 0.9285775423049927, 0.5138149857521057, 0.5138149857521057]",[2],[]
bd998983-63d9420a,"[1, 3]",[2],"[0.5748904347419739, 1.0, 0.23011301457881927, 1.0]","[0.7511985301971436, 0.5398570895195007, 0.9959406852722168, 0.5398570895195007]",[1],[0]
bdb658c2-f38bc8c3,"[1, 3]","[0, 2]","[0.10375729203224182, 1.0, 0.1102769747376442, 1.0]","[0.996555745601654, 0.2791109085083008, 0.9888602495193481, 0.2791109085083008]",[3],[2]
bdcf5742-bd173465,"[0, 2]","[1, 3]","[1.0, 0.2017190158367157, 1.0, 0.17378360033035278]","[0.39746782183647156, 0.9647912979125977, 0.39746782183647156, 0.9935286045074463]",[0],[1]
be273f87-b164bca1,"[0, 2]","[1, 3]","[1.0, 0.16078725457191467, 1.0, 0.10064534842967987]","[0.30759817361831665, 0.9272539615631104, 0.30759817361831665, 0.993542492389679]",[],[3]
be554fed-f627824e,"[0, 3]","[1, 2]","[1.0, 0.23070110380649567, 0.35853126645088196, 1.0]","[0.4987197816371918, 0.9982088804244995, 0.8881499767303467, 0.4987197816371918]",[],[2]
be56ab92-96e20e29,"[0, 2, 3]",[],"[1.0, 0.07838607579469681, 1.0, 1.0]","[0.34103864431381226, 0.702280580997467, 0.34103864431381226, 0.34103864431381226]",[],[]
be651ffd-cf17daaf,"[1, 2, 3]",[0],"[0.3523002564907074, 1.0, 1.0, 1.0]","[0.9994479417800903, 0.6606181859970093, 0.6606181859970093, 0.6606181859970093]","[1, 2, 3]",[0]
bea64506-a82db0f9,"[0, 2, 3]",[1],"[1.0, 0.29791978001594543, 1.0, 1.0]","[0.627851128578186, 0.9977285265922546, 0.627851128578186, 0.627851128578186]",[],[]
bedbeb83-fe19f8c6,"[1, 3]",[2],"[0.6145095825195312, 1.0, 0.17601332068443298, 1.0]","[0.6686050295829773, 0.4921039342880249, 0.9645857214927673, 0.4921039342880249]",[1],"[0, 2]"
bf1e5669-69f07222,"[0, 2, 3]",[1],"[1.0, 0.1255570501089096, 1.0, 1.0]","[0.44047385454177856, 0.8465973734855652, 0.44047385454177856, 0.44047385454177856]",[3],[]
bf527384-894c88c6,"[0, 2, 3]",[1],"[1.0, 0.11211246252059937, 1.0, 1.0]","[0.41575807332992554, 0.8139394521713257, 0.41575807332992554, 0.41575807332992554]",[],[]
bf9e3b67-49c1ef1c,"[0, 2, 3]",[],"[1.0, 0.049780167639255524, 1.0, 1.0]","[0.2572765052318573, 0.5572620630264282, 0.2572765052318573, 0.2572765052318573]",[],[]
bfbe2ad2-eaedd133,"[0, 2, 3]",[1],"[1.0, 0.3833516836166382, 1.0, 1.0]","[0.6763406991958618, 0.996483564376831, 0.6763406991958618, 0.6763406991958618]",[0],[1]
bffe8c14-18cf493f,"[0, 2, 3]",[],"[1.0, 0.09891749918460846, 1.0, 1.0]","[0.3889373540878296, 0.7759885787963867, 0.3889373540878296, 0.3889373540878296]",[],[]
bffe8c14-48544350,"[0, 1, 2]",[3],"[1.0, 0.831307053565979, 1.0, 0.30890560150146484]","[0.6228866577148438, 0.6946972012519836, 0.6228866577148438, 0.999979555606842]",[0],[1]
c00cc83c-a6a9ce44,"[0, 3]",[1],"[1.0, 0.1606265902519226, 0.4700720012187958, 1.0]","[0.45809459686279297, 0.9701628088951111, 0.7327553033828735, 0.45809459686279297]",[],[2]
c0209255-980acc6a,"[0, 2, 3]",[1],"[1.0, 0.1113099455833435, 1.0, 1.0]","[0.4142034649848938, 0.8118093013763428, 0.4142034649848938, 0.4142034649848938]",[3],[]
c07e5e33-06443391,"[1, 2, 3]",[0],"[0.5849425196647644, 1.0, 1.0, 1.0]","[0.945144534111023, 0.7459197044372559, 0.7459197044372559, 0.7459197044372559]",[3],[]
c0863b71-8c4ce9be,"[1, 2, 3]",[0],"[0.21597127616405487, 1.0, 1.0, 1.0]","[0.9668161869049072, 0.5603309273719788, 0.5603309273719788, 0.5603309273719788]",[],[]
c0be0e03-0663efcf,"[0, 2, 3]",[],"[1.0, 0.07512570172548294, 0.9722781777381897, 1.0]","[0.3321950435638428, 0.6916393637657166, 0.3390309810638428, 0.3321950435638428]",[],[2]
c0da08cc-adbbb7b3,"[0, 3]","[1, 2]","[1.0, 0.27494287490844727, 0.3596241772174835, 1.0]","[0.5258896946907043, 0.9866460561752319, 0.9152666926383972, 0.5258896946907043]",[],[2]
c112ff03-1c0d5484,"[0, 2, 3]",[1],"[1.0, 0.2424171268939972, 1.0, 1.0]","[0.5851507782936096, 0.9819375276565552, 0.5851507782936096, 0.5851507782936096]",[],[]
c1362f73-1bdcf8a1,"[1, 3]","[0, 2]","[0.09168191999197006, 1.0, 0.13567467033863068, 1.0]","[0.9958533644676208, 0.2834795415401459, 0.9455332159996033, 0.2834795415401459]",[1],"[0, 2]"
c1a06160-7046d0fc,"[0, 2, 3]",[],"[1.0, 0.06291873753070831, 1.0, 1.0]","[0.29870790243148804, 0.6313939094543457, 0.29870790243148804, 0.29870790243148804]",[],[]
c1a5825c-f41039d1,[0],"[1, 2, 3]","[1.0, 0.3378337025642395, 0.36072003841400146, 0.38099539279937744]","[0.49040883779525757, 0.9003629684448242, 0.8766891360282898, 0.8561418056488037]",[0],"[1, 2]"
c1b3582d-3eb61cdc,"[0, 2]","[1, 3]","[1.0, 0.10938926041126251, 1.0, 0.23160840570926666]","[0.34577229619026184, 0.9757927060127258, 0.34577229619026184, 0.8544820547103882]",[],[3]
c239f9d5-92e82ab6,"[1, 3]","[0, 2]","[0.1696908175945282, 1.0, 0.10860446840524673, 1.0]","[0.9291601181030273, 0.3213685154914856, 0.9957326650619507, 0.3213685154914856]",[],[]
c288c7a7-785cdad5,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[0],[]
c2a861df-c568afdf,[0],[2],"[1.0, 0.6786752343177795, 0.19019265472888947, 0.5680406093597412]","[0.4857441186904907, 0.6227901577949524, 0.9915891289710999, 0.6919000148773193]",[],"[2, 3]"
c2e294a9-07a2a060,"[1, 3]",[0],"[0.3667593002319336, 1.0, 0.6943319439888, 1.0]","[0.9903179407119751, 0.6394477486610413, 0.7841411232948303, 0.6394477486610413]",[1],"[0, 2]"
c2e3cd3c-fc972e2e,"[1, 2, 3]",[0],"[0.23031286895275116, 1.0, 1.0, 1.0]","[0.9757661819458008, 0.5742107629776001, 0.5742107629776001, 0.5742107629776001]",[1],[0]
c2f5e5c4-35640746,"[0, 2, 3]",[],"[1.0, 0.10113167762756348, 1.0, 1.0]","[0.3936333656311035, 0.7828138470649719, 0.3936333656311035, 0.3936333656311035]",[],[]
c30f013a-9e9fe3ce,[1],"[0, 3]","[0.2596031427383423, 1.0, 0.32103344798088074, 0.17274238169193268]","[0.8554874658584595, 0.37590447068214417, 0.7717593908309937, 0.981840193271637]",[],[2]
c31625c9-9e5a7d0c,"[0, 2, 3]",[],"[1.0, 0.05554144084453583, 1.0, 1.0]","[0.27615058422088623, 0.5915923118591309, 0.27615058422088623, 0.27615058422088623]",[],[]
c31c9630-bb223690,"[0, 3]","[1, 2]","[1.0, 0.3318389058113098, 0.436603307723999, 1.0]","[0.5760962963104248, 0.977839469909668, 0.8972699046134949, 0.5760962963104248]",[],[2]
c321c219-54340460,"[1, 2]",[0],"[0.14630737900733948, 1.0, 0.9949911236763, 0.5381171107292175]","[0.943608820438385, 0.4479568302631378, 0.4494972825050354, 0.6661072373390198]",[],"[2, 3]"
c3719317-3ea7c35e,"[0, 2, 3]",[1],"[1.0, 0.2578667998313904, 1.0, 1.0]","[0.5981868505477905, 0.988213837146759, 0.5981868505477905, 0.5981868505477905]",[],[]
c43eaa20-a3a0a7e8,"[1, 2, 3]",[0],"[0.279422402381897, 1.0, 1.0, 1.0]","[0.9944090843200684, 0.6148306131362915, 0.6148306131362915, 0.6148306131362915]",[],[]
c459408e-3dd887d7,"[0, 2, 3]",[1],"[1.0, 0.20119082927703857, 1.0, 1.0]","[0.5448659658432007, 0.9554541707038879, 0.5448659658432007, 0.5448659658432007]",[2],[]
c45c7487-c44e6bab,"[0, 2, 3]",[1],"[1.0, 0.3588101267814636, 1.0, 1.0]","[0.6640732884407043, 0.9990224838256836, 0.6640732884407043, 0.6640732884407043]",[],[]
c45d3e0a-b26d5167,"[0, 1, 3]",[2],"[1.0, 1.0, 0.5328856706619263, 1.0]","[0.7319372296333313, 0.7319372296333313, 0.9613712430000305, 0.7319372296333313]",[1],[2]
c47ac0cd-7e14e3f2,"[0, 2, 3]",[],"[1.0, 0.09481703490018845, 1.0, 1.0]","[0.38001683354377747, 0.7628195881843567, 0.38001683354377747, 0.38001683354377747]",[],[]
c4910419-e8cf2965,"[0, 2, 3]",[],"[1.0, 0.10203661769628525, 1.0, 1.0]","[0.3955290615558624, 0.78554767370224, 0.3955290615558624, 0.3955290615558624]",[],[]
c4a2accd-bd3e878a,"[0, 2, 3]",[1],"[1.0, 0.3370779752731323, 1.0, 1.0]","[0.652179479598999, 0.9999774694442749, 0.652179479598999, 0.652179479598999]","[0, 2]",[1]
c4d83625-8af1c66e,"[0, 1]","[2, 3]","[1.0, 0.8501251339912415, 0.23578688502311707, 0.19090890884399414]","[0.42228052020072937, 0.47191140055656433, 0.9458505511283875, 0.9926025867462158]",[],"[2, 3]"
c4e2eba0-f32cc5b6,"[0, 3]","[1, 2]","[1.0, 0.29484644532203674, 0.29666733741760254, 1.0]","[0.5122321248054504, 0.9628783464431763, 0.9612857103347778, 0.5122321248054504]",[],[]
c51c4c12-e9006511,"[0, 3]",[1],"[1.0, 0.08452177047729492, 0.3799343407154083, 1.0]","[0.3303799629211426, 0.8572906255722046, 0.634005069732666, 0.3303799629211426]","[0, 3]","[1, 2]"
c573d709-4a0dbd2a,"[0, 2]",[1],"[1.0, 0.11696301400661469, 1.0, 0.32756510376930237]","[0.37890857458114624, 0.9517881870269775, 0.37890857458114624, 0.7681758403778076]",[0],"[1, 3]"
c5b6c311-962e60b4,"[1, 3]",[2],"[0.6789230704307556, 1.0, 0.21529893577098846, 1.0]","[0.683232843875885, 0.5384578108787537, 0.984916627407074, 0.5384578108787537]",[1],"[0, 2]"
c5b76793-172c4594,"[0, 2, 3]",[1],"[1.0, 0.14043642580509186, 1.0, 1.0]","[0.46520495414733887, 0.8768747448921204, 0.46520495414733887, 0.46520495414733887]",[],[]
